"name","wkt"
"かみすばし珈琲","POINT (135.4730344 34.7317201)"
"ミモザヤカフェ","POINT (135.3401671 34.8132638)"
"Cafe&green ＲｏｎＲｏｎ","POINT (139.6258403 35.613515)"
"カフェ コロラド 福井駅店","POINT (136.222936 36.061555)"
"シャンテドール別府店","POINT (131.493909 33.280526)"
"Starbucks","POINT (129.72071 33.172)"
"珈蔵　江南店","POINT (136.8553372 35.3461668)"
"自家焙煎コーヒー　アーセンプレイス　子安の里","POINT (139.6061719 35.2514189)"
"南海パーラー","POINT (135.501198 34.664153)"
"スターバックス","POINT (135.418148 34.761768)"
"WHITE GLASS COFFEE  福岡店","POINT (130.413495 33.588888)"
"天然酵母パンとカフェの店　loop（ループ）","POINT (142.432275 43.759819)"
"Greenberry's Coffee","POINT (133.921623 34.665892)"
"十河の郷","POINT (134.1057673 34.2619981)"
"カルディコーヒーファーム小倉魚町店","POINT (130.879592 33.883188)"
"預言Cafe足利","POINT (139.4486047 36.3409828)"
"Coffee & Diner KUCHE","POINT (129.7209473 33.1683731)"
"KAMEE COFFEE KYOTO","POINT (135.747679 35.008435)"
"Godiva","POINT (139.578063 35.703622)"
"ansisicoffee","POINT (135.05167 34.63037)"
"すぷれも珈琲","POINT (140.19296 36.085852)"
"喫茶 Stove","POINT (135.4824971 34.697795)"
"可否三昧","POINT (130.557974 31.592386)"
"星乃珈琲店柏酒井根店","POINT (139.96767 35.823103)"
"珈琲館　亜羅毘加","POINT (135.5712461 34.8176966)"
"コロンビア","POINT (135.408751 34.72008)"
"ダイヤコーヒー喫茶室","POINT (138.854044 35.094674)"
"NaYA coffee","POINT (139.3914414 35.7524258)"
"夢風舎","POINT (144.6959002 43.0876221)"
"Balena Coffee","POINT (130.8339151 33.6634444)"
"Dāpan Cake","POINT (135.60445 34.627228)"
"木かげ","POINT (140.352385 35.187865)"
"ヴァリスタ","POINT (136.796153 35.383337)"
"海女茶屋","POINT (134.812769 35.623907)"
"小川珈琲 イオン越谷レイクタウン店","POINT (139.828023 35.88198)"
"自家焙煎工房  モカ珈琲","POINT (131.8614574 32.9678308)"
"やまざと","POINT (135.086818 34.891501)"
"green bean to bar CHOCOLATE","POINT (139.772517 35.687729)"
"もぐらや NAMBAなんなん店","POINT (135.501711 34.663719)"
"コメダ珈琲店周南久米店","POINT (131.84038 34.034472)"
"青海珈琲　神田店","POINT (139.7672457 35.690514)"
"Tully's Coffee","POINT (139.73551 35.735294)"
"きりん珈琲","POINT (139.722159 35.56875)"
"カフェ・ド・フルカワ","POINT (139.452688 36.335335)"
"珈琲gou","POINT (137.177041 34.866095)"
"桐生珈琲高山下岡本店","POINT (137.2459061 36.1528867)"
"上島珈琲店麻布十番店","POINT (139.736456 35.655414)"
"TAKAO COFFEE","POINT (139.2697486 35.6302717)"
"きよみ","POINT (134.203652 35.501199)"
"コメダ珈琲知多寺本店","POINT (136.87568 34.997995)"
"ザ コーヒー スタンド","POINT (127.6877618 26.2145525)"
"6TH","POINT (135.4953656 34.6789958)"
"アーロン","POINT (132.374265 34.378038)"
"東向島珈琲店","POINT (139.8155199 35.720035)"
"owl cabin","POINT (135.1728094 34.135221)"
"びんのかけら","POINT (138.231859 37.116215)"
"羅座亜留　平井店","POINT (132.9536531 34.1223656)"
"神野喫茶店","POINT (141.3288703 43.1185452)"
"Starbucks","POINT (137.10174 36.71218)"
"コメダ珈琲店掛川宮脇店","POINT (138.028008 34.779517)"
"珈琲豆処夢珈別府店","POINT (131.5010369 33.2860774)"
"珈琲倶楽部バルーン","POINT (136.915175 35.563071)"
"KALDI COFFEE FARM","POINT (139.511552 35.7593)"
"シキシマ","POINT (136.937905 34.891243)"
"倉式珈琲店広島本通店","POINT (132.460808 34.392842)"
"スタンプタウン・コーヒー・ロースターズ","POINT (135.760078 35.009608)"
"しまうま カフェ","POINT (137.392016 34.75718)"
"Tully's Coffee","POINT (139.487373 35.33768)"
"Stool Coffee","POINT (130.300364 33.248665)"
"ウォールデン","POINT (130.653767 33.408304)"
"飛騨高山 自家焙煎珈琲専門店 イーグルコーヒー高山","POINT (137.2646268 36.1145431)"
"Tully’s Coffee ウニクス野田店","POINT (139.850182 35.945248)"
"kasumigaoka coffee","POINT (137.0044822 35.2118122)"
"アプリコット","POINT (138.909512 35.136855)"
"スターバックス","POINT (139.736023 35.655716)"
"コーヒー通り21","POINT (141.196605 41.2866507)"
"ベックスコーヒー王子店","POINT (139.737297 35.753637)"
"NIWATORI COFFEE","POINT (139.653225 35.6916342)"
"喫茶モック","POINT (136.878292 35.167155)"
"資生堂パーラー 八重洲ショップ","POINT (139.768236 35.681743)"
"山猫屋珈琲店","POINT (139.9021003 35.838125)"
"スターバックス","POINT (131.436019 31.919425)"
"Wanna be","POINT (141.3382745 43.0563774)"
"珈琲工房azu","POINT (137.8656506 36.3288044)"
"ノルマンディー太子店","POINT (134.572513 34.834992)"
"タリモ珈琲","POINT (140.781428 36.834935)"
"信州安曇乃","POINT (135.238902 34.716674)"
"HUG COFFEE","POINT (138.38821 34.96913)"
"珈琲所 コメダ珈琲店 マルナカ四万十店","POINT (132.925648 32.980122)"
"道と空の間","POINT (134.108579 34.716201)"
"プロント 千駄ヶ谷4丁目店","POINT (139.704209 35.680861)"
"ドッグランLIBERTY","POINT (136.834559 34.32437)"
"February Coffee Roastery","POINT (139.7953606 35.7159992)"
"ふくろうの杜","POINT (140.88719 38.234675)"
"コーヒーカーサ","POINT (127.744601 26.330897)"
"喫茶蔵","POINT (139.803629 35.747887)"
"マリゾー・カフェ","POINT (141.7126238 39.0915146)"
"Rec Coffee 渋谷東店","POINT (139.7079542 35.6571862)"
"HAKUSHIMA R","POINT (132.4649504 34.4056173)"
"スペシャルティコーヒー豆専門店カフェマルシェkunikuni","POINT (139.6358032 35.6522179)"
"星乃珈琲店五香店","POINT (139.963779 35.795518)"
"Starbucks","POINT (135.35826 34.7473)"
"YSG・気まぐれ飛行船","POINT (139.874336 35.693855)"
"鳥の木珈琲","POINT (135.761249 35.015003)"
"Feelin Groovy","POINT (139.4790455 35.3462289)"
"グリーンライフコーヒーロースター","POINT (140.982972 38.290104)"
"Cheeers Coffee （鎌倉・長谷）","POINT (139.5338479 35.317378)"
"ホノルルコーヒーららぽーと富士見店","POINT (139.5482325 35.8596532)"
"うっしぃ珈琲","POINT (139.510476 35.706076)"
"スターバックス","POINT (135.114405 35.294511)"
"珈琲美美","POINT (130.382618 33.582703)"
"珈琲処徳右ヱ門千音寺本店","POINT (136.812605 35.158269)"
"チェリーハウス","POINT (133.3239358 35.436898)"
"珈琲専門店 みみ","POINT (139.685295 35.679941)"
"ぽけっと","POINT (144.600231 43.300391)"
"Parlor IMOM","POINT (136.9087828 35.1084861)"
"サンラック","POINT (132.732056 35.375407)"
"さんぽ道","POINT (136.974283 35.755137)"
"コメダ珈琲店春日店","POINT (136.855399 35.229345)"
"スターバックス","POINT (135.802066 34.651794)"
"ドトールコーヒーショップ 八重洲中央口店","POINT (139.768061 35.680661)"
"Starbucks","POINT (139.38933 35.45594)"
"スターバックス","POINT (141.333397 43.055009)"
"ドトールコーヒーショップ 大森店","POINT (139.72822 35.58735)"
"元町珈琲愛知徳重の離れ","POINT (137.004368 35.099337)"
"ラッコルト","POINT (130.3843594 33.5834081)"
"REBIRTHDAY","POINT (139.6693247 35.6512822)"
"Sai cafe","POINT (140.025986 36.932027)"
"KAFFEE FIKA","POINT (135.2374378 34.7165531)"
"BBR","POINT (130.5607147 31.6059108)"
"壺屋豊橋駅店","POINT (137.382016 34.762887)"
"VENGA!COFFEE","POINT (136.2213378 36.0684044)"
"煎濾","POINT (139.756247 35.658726)"
"ISLAND STONE COFFEE ROASTERS","POINT (139.8199078 36.5964639)"
"Coffee & Bar PLUS （プラス）","POINT (135.8258629 34.6841285)"
"コーヒー&アトリエ かくれんぼ","POINT (139.141609 35.298076)"
"スターバックス","POINT (130.520771 33.31236)"
"KALDI COFFEE FARM","POINT (139.64395 35.631435)"
"Loughmo ラフも 笑顔が集まる空間","POINT (140.272247 42.255217)"
"珈琲文明","POINT (139.626424 35.488135)"
"梟焙煎研究所","POINT (139.645531 35.650421)"
"CAFE MOGMOF","POINT (139.932203 35.789345)"
"枯山水","POINT (138.905891 35.096068)"
"あまでお","POINT (135.493451 34.697399)"
"HAPPY COFFEE","POINT (135.1842519 34.6854873)"
"杜のカフェ cocode","POINT (140.882377 38.261065)"
"ウッディ","POINT (130.502124 33.20672)"
"純な","POINT (139.47553 35.899375)"
"cafe shima coffee roaster","POINT (139.6167684 35.7024918)"
"上島珈琲店大手町フィナンシャルシティ店","POINT (139.765847 35.688227)"
"nuestra casa contigo / ヌエストラカーサ・コンティーゴ","POINT (140.3902244 36.3876561)"
"豆の樹","POINT (136.869009 35.172517)"
"Sixth or Third Coffee Stand","POINT (137.214023 36.690596)"
"珈琲家","POINT (139.817832 35.718883)"
"Starbuck Coffee Kyoto Ninenzaka Yazaka Chaya","POINT (135.7807174 34.9983248)"
"W. Bolero","POINT (135.4981728 34.6859582)"
"コーヒー屋伊万里","POINT (135.347137 34.807364)"
"元気食堂うさぎ　みんなの食育","POINT (139.7522853 35.5982108)"
"ABOUT LIFE COFFEE BREWERS","POINT (139.6958126 35.6567105)"
"Laviola","POINT (139.4408676 35.3353615)"
"パン・オ・ルヴァンアミュプラザ店","POINT (130.6884766 32.7884981)"
"YOAKE COFFEE","POINT (131.6038567 33.2379652)"
"はいだるい","POINT (136.925994 37.075548)"
"ドトールコーヒーショップ さいたま新都心店","POINT (139.633688 35.894389)"
"星乃珈琲店長崎時津店","POINT (129.848454 32.82618)"
"CAFE Cioccolata","POINT (136.2354584 36.0532338)"
"上島珈琲店新潟ラブラ2店","POINT (139.056906 37.916782)"
"珈琲館ゆめタウン高松店","POINT (134.041539 34.316873)"
"スターバックス","POINT (135.497084 34.681192)"
"GOCCIA coffee factory","POINT (134.3611836 35.0124063)"
"前川茶舗＆夜マルサ","POINT (142.3616889 43.7696514)"
"Real estate office cafe Hachi","POINT (124.1516986 24.3420692)"
"喫茶通天閣","POINT (135.505969 34.652755)"
"珈琲蘭館","POINT (130.530178 33.516417)"
"Robert's Coffee TOKYO AREA / ロバーツコーヒー東京エリア","POINT (139.6001387 35.6683862)"
"Starbucks","POINT (135.96577 35.01504)"
"TOKUSHIMA COFFEE WORKS 山城店","POINT (134.5562567 34.0531056)"
"Coffee Gallery Coedo","POINT (139.4850612 35.9209737)"
"高木珈琲茨木店","POINT (135.562062 34.826291)"
"LUMETO COFFEE","POINT (139.902261 37.481162)"
"あおい珈琲","POINT (137.1678462 34.9909211)"
"元井珈琲","POINT (135.639994 34.660396)"
"スターバックス","POINT (139.579076 35.297039)"
"土のテーブル","POINT (137.743875 35.861055)"
"珈琲館 モカ","POINT (133.74435 34.673576)"
"スターバックスコーヒー ららぽーとexpocity店","POINT (135.5356758 34.8059215)"
"かえりみちのブルー","POINT (135.194617 34.054687)"
"純喫茶 ブラザー","POINT (139.793145 35.715108)"
"箱根焙煎珈琲","POINT (139.102649 35.232161)"
"楽風","POINT (139.6549 35.855018)"
"マキ","POINT (139.044372 37.921485)"
"Bountiful Coffee","POINT (139.9139889 35.6497838)"
"珈琲舞姫 - coffee maki -","POINT (136.9299144 35.1678463)"
"2café","POINT (140.4003997 37.7584183)"
"焙煎工房mill　coffee","POINT (139.5274615 35.6092142)"
"ドトールコーヒーショップ 青森下田店","POINT (141.4168622 40.6024398)"
"コメダ珈琲店伏見桃山駅前店","POINT (135.764604 34.932736)"
"マイケル","POINT (136.985723 36.860824)"
"もっこす","POINT (136.61253 36.5165845)"
"陽だまり","POINT (139.9115422 36.5727329)"
"ベックスコーヒーショップ 群大病院店","POINT (139.061526 36.407353)"
"パパアンドママ","POINT (140.379102 38.430137)"
"やすらぎ珈琲池田店","POINT (136.577356 35.422619)"
"元気スタンド・ぷリズム","POINT (139.720106 36.057861)"
"Starbucks","POINT (140.15813 35.55292)"
"コーヒートラック_Doubletall Coffee","POINT (139.541295 35.3137321)"
"草千里珈琲焙煎所","POINT (131.0537228 32.8860636)"
"3-chomecafe","POINT (135.547303 34.740778)"
"Waffle Coffee","POINT (139.574132 36.3133961)"
"ハルノカオリ","POINT (136.9346738 35.1484118)"
"スターバックス","POINT (136.9756 35.178962)"
"Gon・カフェ","POINT (127.6888096 26.2023713)"
"コメダ珈琲飯田店","POINT (137.811833 35.501215)"
"珈琲所 コメダ珈琲店宮崎橘通店","POINT (131.423337 31.915496)"
"ぱいつぼおる","POINT (138.633848 36.358456)"
"ヘイジー","POINT (139.65364 35.981998)"
"コメダ珈琲店北九州鞘ケ谷店","POINT (130.833727 33.880214)"
"オレンジペコ","POINT (140.375186 37.395906)"
"スターバックス","POINT (140.739328 40.7972)"
"珈琲茶屋水仙","POINT (137.156341 34.925478)"
"注文焙煎豆虎","POINT (139.7379456 35.674221)"
"珈琲館コザ店","POINT (127.800328 26.337436)"
"珈琲倶楽部 ビッグスワン店","POINT (139.0541107 37.8830589)"
"あしび","POINT (139.317845 36.356404)"
"葡萄屋蔵ぶ","POINT (136.850368 35.415149)"
"COFFEE & ROASTER 2-3","POINT (139.640795 35.666676)"
"Flap Coffee and Bake Shop 普天間店","POINT (127.7777419 26.2890875)"
"逃現郷","POINT (135.7489378 35.0303767)"
"スターバックス","POINT (136.594696 35.018634)"
"伏見珈琲館","POINT (136.901427 35.169828)"
"ドトールコーヒーショップ千林店","POINT (135.553798 34.724226)"
"coffee&sake NINE TEEN","POINT (130.3942108 33.5839825)"
"スターバックス イオン各務原","POINT (136.8541174 35.4056178)"
"ドトールコーヒーショップ エッソ常盤平店","POINT (139.946688 35.804099)"
"能作","POINT (136.656293 36.561827)"
"山本珈琲館","POINT (135.474349 34.845955)"
